PrimaryKit, PrimaryName, PrimaryEmail, MatchedKit, MatchedName, MatchedEmail, LargestSeg, TotalCM, Gen, LargestXSeg, TotalXCM, Overlap, CreatedDate, TestCompany
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, VBdigghjf, Exkx ZboklelrplsXr, wrwxkx.zboklelrplsxqelqjxfi.zlj, 20.196, 53.649, 4.000, 0.000, 0.000, 478521, 2023-03-28, FTDNA
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, QAifjihhf, uMxqofzfx Yfidbo, czlfsxkqqqdjxfi.zlj, 11.701, 35.049, 4.300, 0.000, 0.000, 423530, 2020-05-27, 23andMe
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, VSdjiheah, Jfzebiib Jxofb Ibkkfp, zebiibpbgecqxli.zlj, 10.927, 28.824, 4.500, 0.000, 0.000, 424050, 2018-09-13, 23andMe
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, QEifhjdjd, Hxobk Peolvbo, hpeolvboqtlttxv.zlj, 11.258, 26.510, 4.500, 0.000, 0.000, 422642, 2019-01-18, 23andMe
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, DNiaigjgh, mefi Dxiibdlp, fkdobppxaafzqbaqdjxfi.zlj, 12.036, 29.448, 4.500, 0.000, 0.000, 424040, 2021-05-01, 23andMe
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, RZbiiacib, Pxmmefob Qxvilo, pxme.qxviloqdjxfi.zlj, 11.529, 29.626, 4.500, 0.000, 0.000, 423354, 2021-10-06, 23andMe
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, PNhgjecfj, uHbipbv, hbipbvxpqlsxiiqdjxfi.zlj, 13.140, 28.312, 4.500, 9.249, 9.249, 417565, 2019-04-06, 23andMe
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, BUbagcfff, uZvkqefx Qxddxoq, peboofpmixzbqdjxfi.zlj, 12.173, 28.023, 4.500, 0.000, 0.000, 424939, 2022-06-04, 23andMe
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, WBhjjgcag, Zliifk Yixqq, zliifk.yixqqqdjxfi.zlj, 12.491, 27.185, 4.500, 0.000, 0.000, 424020, 2018-03-24, 23andMe
EPfhbcijd, Glexkkx DiXrzhifze, coxkqfh.gxkqpbwkxj.zw, RMcfjghef, uOfzh, otloqibvqdjxfi.zlj, 10.677, 26.848, 4.500, 0.000, 0.000, 422049, 2023-01-14, 23andMe
